WNB1251.9-1217  12 51 59.69 -12 17  5.6  12 54 36.81 -12 33 20.9  M      5717   17801    0   0 175  4.2 snh13_189 

# new
13 15 23.937     -16 23 07.27    270.469    0                        cluster--NGC--5044--9399--0.0090
WNB1312.7-1607  13 12 43.96 -16 07  7.4  13 15 23.87 -16 22 57.8  S        34      33  223  45   0  3.4 snh20_200 

# new
13 38 15.860     +04 32 33.71    107.613    0                        cluster--NGC--5252--4054--0.0230
no data

# new
13 39 56.353     -31 38 20.53   1722.973    0                        cluster--NGC--5253--7154--0.0014
CATS BRGAL  NGC5253            13 39 55.800      n  -31 38 23.00     n      408       0.2       0 J          7.4  251

# new
15 01 11.227     +01 42 07.23    367.766    0                        cluster--NGC--5813--5907--0.0066
CATS AO83   N5813              15 01 11.200      n   01 42 08.00     n      102         3       0 J          0.8   28
CATS BRGAL  NGC5813            15 01 11.300      n   01 42 11.00     n      408      0.21       0 J          3.9  344
CATS BRGAL  NGC5813            15 01 11.300      n   01 42 11.00     n      430      0.42       .1 J          3.9  344
CATS BRGAL  NGC5813            15 01 11.300      n   01 42 11.00     n      611      0.41       .1 J          3.9  344

# new
15 06 00.813     +01 38 01.77    504.588    0                        cluster--NGC--5845--4009--0.0048
no data

# new
15 06 29.292     +01 36 20.27    425.376    0                        cluster--NGC--5846--7923--0.0057
CATS BRGAL  NGC5846/A          15 06 28.300      n   01 36 34.00     n      408       0.2       0 J         20.2   47
CATS BRGAL  NGC5846/A          15 06 28.300      n   01 36 34.00     n      750       0.2       0 J         20.2   47

# new
16 57 58.084     +27 51 15.80     72.119    0                        cluster--NGC--6269--4972--0.0348
CATS VLSS   J1657+2751         16 57 58.350      n   27 51 07.90     n       74      0.56       .1 J          8.6  204

# new
17 15 22.975     +57 24 40.29     90.803    0                           cluster--NGC--6338--0000--0.0274
WNB1714.5+5727  17 14 31.33  57 27 55.7  17 15 22.51  57 24 40.1  S        65      81   73  58 154  3.8 WNH55_255 

# new
23 20 14.539     +08 12 23.39    194.025    0                        cluster--NGC--7619--3955--0.0126
no data

# new
23 20 14.518     +08 12 23.40    214.142    0                        cluster--NGC--7626--2074--0.0114
no data

# new
00 39 18.602     +03 19 52.75    166.723    0                        cluster--UGC--0408--4053--0.0147
CATS Ku79   0036+03            00 39 18.982      n   03 19 55.40     n      160       4.2      1.3 J          6.2  295
CATS CUL    0036+030           00 39 19.700      n   03 19 27.00     n      160       4.3        0 J         30.5  213
CATS PKS90  0036+030           00 39 17.800      n   03 19 46.00     n      178       3.4        0 J         13.7  119
CATS Ku79   0036+03            00 39 18.982      n   03 19 55.40     n      178       3.8       .9 J          6.2  295
CATS Ku79   0036+03            00 39 18.982      n   03 19 55.40     n      318      4.03      .21 J          6.2  295
CATS 87GBM  B0036+0303         00 39 18.100      n   03 19 33.00     n      365     1.039     .047 J         21.1  159
CATS TXS    TXS_B0036+030      00 39 19.033      n   03 19 51.91     n      365     1.058    0.048 J          6.5  263
CATS PKS90  0036+030           00 39 17.800      n   03 19 46.00     n      408      3.14        0 J         13.7  119
CATS MRC    0036+030           00 39 18.500      n   03 19 51.00     n      408      3.14      .15 J          2.3  139
CATS MSL    PKS0036+03         00 39 19.380      n   03 19 58.40     n      408       4.1        0 J         12.9  296
CATS NAIC   A0036+030          00 39 18.100      n   03 19 45.00     n      611     3.418     .202 J         10.7  136
CATS PKS90  0036+030           00 39 17.800      n   03 19 46.00     n      635         3        0 J         13.7  119
