#Name		z	Tm	Thi	Tmlo	beta	betahi	betalo	rc	rchi	rclo	ne0	ne0hi	ne0lo	tcool	tchi	tclo	Mdot	Mdhi	Mdlo
ABELL_1644	0.0474	4.70	0.90	0.70	0.579	0.111	0.074	299	127	92	0.28	0.08	0.06	2.65	0.96	0.67	0	0	0
ABELL_1650	0.0845	5.60	0.60	0.60	0.704	0.131	0.081	281	104	70	0.43	0.09	0.06	1.87	0.33	0.36	0	0	0
ABELL_1651	0.0860	6.30	0.50	0.50	0.643	0.014	0.013	180	9	9	1.10	0.07	0.07	0.78	0.07	0.07	81	30	23
ABELL_1689	0.1840	9.23	0.28	0.28	0.690	0.011	0.011	162	6	6	2.12	0.18	0.18	0.47	0.04	0.04	683	239	182
ABELL_1736	0.0461	3.50	0.40	0.40	0.542	0.147	0.092	374	177	129	0.13	0.04	0.02	4.92	1.27	1.28	0	0	0
ABELL_1775	0.0757	3.69	0.20	0.11	0.673	0.026	0.023	259	19	17	0.30	0.05	0.04	2.16	0.36	0.28	0	0	0
ABELL_1795	0.0616	6.00	0.30	0.30	0.596	0.003	0.002	78	1	1	2.88	0.05	0.05	0.29	0.01	0.01	399	47	39
ABELL_1800	0.0748	4.02	0.64	0.56	0.766	0.308	0.139	391	223	131	0.18	0.07	0.04	3.65	1.14	1.07	0	0	0
ABELL_1914	0.1712	10.53	0.51	0.50	0.751	0.018	0.017	230	10	10	1.12	0.03	0.03	0.97	0.04	0.04	180	50	40
ABELL_2029	0.0767	8.70	0.30	0.30	0.582	0.004	0.004	83	2	2	3.90	0.15	0.15	0.26	0.01	0.01	514	93	78
ABELL_2052	0.0348	3.03	0.04	0.04	0.526	0.005	0.005	36	1	1	2.85	0.66	0.62	0.20	0.06	0.04	108	188	49
ABELL_2063	0.0354	3.68	0.11	0.11	0.561	0.011	0.011	110	6	6	0.96	0.00	0.00	0.67	0.02	0.02	21	2	2
ABELL_2065	0.0721	5.40	0.30	0.30	1.162	0.734	0.282	689	360	186	0.20	0.07	0.04	3.99	1.15	1.04	0	0	0
ABELL_2142	0.0899	8.80	0.60	0.60	0.591	0.006	0.006	153	5	5	1.61	0.07	0.07	0.64	0.04	0.04	337	82	61
ABELL_2147	0.0351	4.91	0.28	0.28	0.444	0.071	0.046	237	102	64	0.17	0.04	0.03	4.41	0.92	0.87	0	0	0
ABELL_2151	0.0369	2.40	0.06	0.06	0.564	0.014	0.013	68	5	4	0.82	0.04	0.03	0.60	0.03	0.03	30	3	3
ABELL_2163	0.2010	13.29	0.64	0.64	0.796	0.030	0.028	519	30	29	0.53	0.02	0.02	2.37	0.12	0.11	0	0	0
ABELL_2199	0.0302	4.10	0.08	0.08	0.655	0.019	0.021	139	10	9	0.83	0.03	0.03	0.83	0.03	0.03	77	7	6
ABELL_2204	0.1523	7.21	0.25	0.25	0.597	0.008	0.007	67	3	2	5.07	0.12	0.11	0.18	0.01	0.01	1287	122	129
ABELL_2244	0.0970	7.10	5.00	2.20	0.607	0.016	0.015	125	10	10	1.20	0.06	0.05	0.76	0.35	0.18	129	199	127
ABELL_2255	0.0800	6.87	0.20	0.20	0.797	0.033	0.030	593	35	32	0.18	0.02	0.02	4.96	0.45	0.44	0	0	0
ABELL_2256	0.0601	7.50	0.40	0.40	0.914	0.054	0.047	587	39	36	0.26	0.01	0.01	3.62	0.19	0.21	0	0	0
ABELL_2319	0.0564	9.20	0.70	0.70	0.591	0.013	0.012	284	14	13	0.51	0.05	0.05	2.10	0.24	0.21	0	0	0
ABELL_2589	0.0416	3.70	2.20	1.10	0.596	0.013	0.012	118	7	7	0.74	0.07	0.07	0.88	0.37	0.24	19	53	19
ABELL_2597	0.0852	3.60	0.20	0.20	0.633	0.008	0.008	57	2	2	3.63	0.08	0.07	0.17	0.01	0.01	501	58	51
ABELL_2634	0.0312	3.70	0.28	0.28	0.640	0.051	0.043	364	43	38	0.24	0.02	0.02	2.70	0.28	0.25	0	0	0
ABELL_2657	0.0404	3.70	0.30	0.30	0.556	0.008	0.007	119	5	4	0.54	0.00	0.00	1.20	0.07	0.07	2	5	2
ABELL_2734	0.0620	3.85	0.62	0.54	0.624	0.034	0.029	211	26	23	0.32	0.02	0.02	2.04	0.28	0.27	0	0	0
ABELL_2877	0.0241	3.50	2.20	1.10	0.566	0.029	0.025	189	18	16	0.19	0.02	0.02	3.33	1.60	0.95	0	0	0
ABELL_3112	0.0750	4.70	0.40	0.40	0.576	0.006	0.006	61	2	2	3.52	0.27	0.23	0.21	0.02	0.02	346	123	97
ABELL_3158	0.0590	5.77	0.10	0.05	0.661	0.025	0.022	268	19	18	0.39	0.02	0.01	2.11	0.08	0.08	0	0	0
ABELL_3266	0.0594	7.70	0.80	0.80	0.796	0.020	0.019	564	20	19	0.28	0.01	0.01	3.44	0.30	0.30	0	0	0
ABELL_3376	0.0455	4.30	0.60	0.60	1.054	0.101	0.083	754	68	60	0.10	0.01	0.00	6.87	0.83	0.78	0	0	0
ABELL_3391	0.0531	5.70	0.70	0.70	0.579	0.026	0.024	234	23	21	0.43	0.08	0.06	1.91	0.34	0.34	0	0	0
ABELL_3395n	0.0498	4.80	0.40	0.40	0.981	0.619	0.244	672	383	203	0.10	0.04	0.02	7.33	2.40	2.03	0	0	0
ABELL_3395s	0.0498	4.80	0.40	0.40	0.964	0.275	0.167	604	172	117	0.13	0.02	0.02	5.82	1.01	0.92	0	0	0
ABELL_3526	0.0103	3.68	0.06	0.06	0.495	0.011	0.010	37	4	4	1.83	0.13	0.12	0.36	0.03	0.02	24	6	5
ABELL_3528n	0.0540	3.40	1.66	0.64	0.621	0.034	0.030	177	16	15	0.34	0.02	0.02	1.81	0.61	0.28	0	0	0
ABELL_3528s	0.0551	3.15	0.89	0.59	0.463	0.013	0.012	100	8	8	0.48	0.03	0.02	1.21	0.26	0.19	1	11	1
ABELL_3530	0.0544	3.89	0.27	0.25	0.773	0.114	0.085	420	74	61	0.13	0.01	0.01	5.27	0.61	0.56	0	0	0
ABELL_3532	0.0539	4.58	0.19	0.17	0.653	0.034	0.029	281	26	24	0.30	0.06	0.05	2.42	0.50	0.38	0	0	0
ABELL_3558	0.0480	5.50	0.30	0.30	0.580	0.006	0.005	223	5	5	0.46	0.01	0.01	1.77	0.09	0.09	0	0	0
ABELL_3560	0.0495	3.16	0.51	0.44	0.566	0.033	0.029	255	30	27	0.17	0.01	0.01	3.47	0.51	0.46	0	0	0
ABELL_3562	0.0499	5.16	0.16	0.16	0.472	0.006	0.006	98	5	5	0.58	0.02	0.02	1.33	0.07	0.06	0	0	0
ABELL_3571	0.0397	6.90	0.30	0.30	0.613	0.010	0.010	181	6	6	1.09	0.09	0.08	0.84	0.08	0.07	35	11	10
ABELL_3581	0.0214	1.83	0.04	0.04	0.543	0.024	0.022	35	4	4	1.61	0.12	0.10	0.25	0.02	0.02	49	12	11
ABELL_3627	0.0163	6.02	0.08	0.08	0.555	0.056	0.044	299	56	49	0.19	0.02	0.02	4.51	0.44	0.45	0	0	0
ABELL_3667	0.0560	7.00	0.60	0.60	0.541	0.008	0.008	279	10	9	0.33	0.01	0.01	2.81	0.21	0.17	0	0	0
ABELL_3695	0.0890	5.29	0.85	0.74	0.642	0.259	0.117	398	253	149	0.20	0.08	0.05	3.82	1.27	1.12	0	0	0
ABELL_3822	0.0760	4.90	0.78	0.69	0.639	0.150	0.093	350	159	111	0.21	0.05	0.03	3.60	0.83	0.86	0	0	0
ABELL_3827	0.0980	7.08	1.13	0.99	0.989	0.410	0.192	593	247	148	0.26	0.06	0.05	3.43	0.86	0.72	0	0	0
ABELL_3888	0.1510	8.84	1.41	1.24	0.928	0.084	0.066	400	45	39	0.52	0.04	0.03	1.92	0.26	0.25	0	0	0
ABELL_3921	0.0936	5.73	0.24	0.23	0.762	0.036	0.030	328	25	23	0.34	0.01	0.01	2.34	0.12	0.12	0	0	0
ABELL_4038	0.0283	3.15	0.03	0.03	0.541	0.009	0.008	58	3	3	1.49	0.09	0.09	0.40	0.02	0.02	68	14	12
ABELL_4059	0.0460	4.10	0.30	0.30	0.582	0.010	0.010	89	5	5	1.18	0.08	0.08	0.58	0.05	0.05	69	20	15
AWM7		0.0172	3.75	0.09	0.09	0.671	0.027	0.025	173	17	15	0.60	0.05	0.05	1.10	0.11	0.09	6	3	4
COMA		0.0232	8.38	0.34	0.34	0.654	0.019	0.021	343	22	20	0.30	0.06	0.06	3.45	0.85	0.56	0	0	0
EXO_0422-086	0.0390	2.90	0.90	0.60	0.722	0.104	0.071	142	40	30	0.66	0.11	0.08	0.85	0.23	0.19	48	59	38
FORNAX		0.0046	1.20	0.04	0.04	0.804	0.098	0.084	173	17	15	0.09	0.01	0.01	2.50	0.20	0.18	0	0	0
HCG94		0.0417	3.45	0.30	0.30	0.514	0.007	0.006	86	4	3	0.70	0.02	0.02	0.89	0.07	0.07	6	3	2
HYDRA_A		0.0538	3.80	0.20	0.20	0.573	0.003	0.003	50	1	1	3.58	0.37	0.34	0.18	0.02	0.02	293	150	84
IIIZw54		0.0311	2.16	0.35	0.30	0.887	0.320	0.151	289	123	72	0.20	0.05	0.03	2.31	0.55	0.56	0	0	0
IIZw108		0.0494	3.44	0.55	0.48	0.662	0.167	0.097	365	159	105	0.14	0.04	0.02	4.50	1.06	1.04	0	0	0
M49		0.0044	0.95	0.02	0.01	0.592	0.007	0.007	10	0	0	1.33	0.02	0.02	0.12	0.00	0.00	2	0	0
MKW3S		0.0450	3.50	0.20	0.20	0.581	0.008	0.007	66	2	2	1.89	0.25	0.25	0.33	0.06	0.04	121	76	44
MKW_04		0.0200	1.71	0.09	0.09	0.440	0.004	0.005	11	0	0	2.92	0.11	0.09	0.13	0.01	0.01	16	2	2
MKW8		0.0270	3.29	0.23	0.22	0.511	0.098	0.059	106	70	42	0.26	0.11	0.05	2.31	0.62	0.69	0	0	0
NGC1550		0.0123	1.43	0.04	0.03	0.554	0.049	0.037	45	15	10	0.75	0.14	0.09	0.41	0.06	0.06	20	10	8
NGC4636		0.0037	0.76	0.01	0.01	0.491	0.032	0.027	6	2	1	1.68	0.40	0.24	0.07	0.01	0.01	2	2	1
NGC499		0.0147	0.72	0.03	0.02	0.722	0.034	0.030	23	2	1	0.94	0.10	0.09	0.12	0.01	0.01	11	4	3
NGC5044		0.0090	1.07	0.01	0.01	0.524	0.002	0.003	11	0	0	3.45	0.03	0.03	0.05	0.00	0.00	28	1	1
NGC507		0.0165	1.26	0.07	0.07	0.444	0.005	0.005	19	1	1	1.16	0.04	0.04	0.22	0.01	0.01	14	2	2
NGC5813		0.0064	0.52	0.08	0.07	0.766	0.179	0.103	24	8	5	0.90	0.18	0.13	0.10	0.02	0.02	9	11	5
NGC5846		0.0061	0.82	0.01	0.01	0.599	0.016	0.015	6	0	0	3.56	0.22	0.21	0.04	0.00	0.00	2	0	0
OPHIUCHUS	0.0280	10.26	0.32	0.32	0.747	0.035	0.032	278	23	21	0.68	0.04	0.04	1.72	0.12	0.10	0	0	0
ABELL_0478	0.0183	6.79	0.12	0.12	0.540	0.006	0.004	63	2	1	3.25	0.06	0.05	0.28	0.01	0.01	481	31	32
PKS_0745-191	0.1028	7.21	0.11	0.11	0.608	0.006	0.006	71	2	2	5.70	0.14	0.15	0.16	0.00	0.00	1424	150	133
RXJ2344		0.0786	4.73	0.76	0.66	0.807	0.033	0.030	300	19	18	0.51	0.06	0.05	1.43	0.24	0.20	0	1	0
S1101		0.0580	3.00	1.20	0.70	0.639	0.006	0.007	55	1	1	2.90	0.19	0.18	0.20	0.06	0.04	299	179	112
S405		0.0613	4.21	0.67	0.59	0.664	0.263	0.133	458	261	158	0.12	0.05	0.03	5.67	1.85	1.74	0	0	0
S540		0.0358	2.40	0.38	0.34	0.641	0.073	0.051	130	38	28	0.40	0.07	0.05	1.23	0.23	0.24	1	7	1
S636		0.0116	1.18	0.19	0.17	0.752	0.217	0.123	343	130	86	0.07	0.01	0.01	3.06	0.77	0.65	0	0	0
TRIAs		0.0510	9.50	0.70	0.70	0.610	0.010	0.010	278	10	9	0.55	0.01	0.01	1.98	0.12	0.12	0	0	0
UG03957		0.0340	2.58	0.41	0.36	0.740	0.133	0.086	142	44	33	0.48	0.08	0.06	1.09	0.21	0.20	8	11	8
ZWCL_1215	0.0750	5.58	0.89	0.78	0.819	0.038	0.034	431	27	25	0.27	0.01	0.01	3.00	0.36	0.33	0	0	0
ZWCL_1742	0.0757	5.23	0.84	0.73	0.717	0.073	0.053	231	45	38	0.60	0.11	0.09	1.29	0.28	0.23	0	23	0
