# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_1651                  4185   0.00   0.52  2.02  0.00  0.00  6.58  6.15  7.09  0.70  0.54  0.89   2.54e-03   2.44e-03   2.64e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.344   99.0  98.28    104
ABELL_1689                  5004   0.00   0.27  1.87  0.00  0.00  9.02  8.47  9.64  0.75  0.63  0.89   2.77e-03   2.69e-03   2.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.315   99.7 161.14    160
ABELL_1763                  3591   0.00   0.27  0.82  0.00  0.00  6.36  5.46  7.78  0.12  0.00  0.43   3.55e-04   3.28e-04   3.77e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.035   97.5  24.69     25
ABELL_2034                  2204   0.00   0.40  1.58  0.00  0.00  7.39  6.81  8.09  0.46  0.32  0.64   4.54e-04   4.38e-04   4.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.058   96.8 106.02     99
ABELL_2069                  4965   0.00   0.39  1.97  0.00  0.00  6.74  5.65  8.01  0.66  0.24  1.11   1.38e-04   1.25e-04   1.50e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.015   88.0  18.04     29
ABELL_2218                  1666   0.00   0.29  3.12  0.00  0.00  9.70  8.37 11.42  0.29  0.05  0.54   4.23e-04   4.05e-04   4.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.045   98.0  79.55     63
ABELL_2255                   894   0.00   0.55  2.53  0.00  0.00  8.31  7.16 10.02  0.45  0.07  0.90   2.54e-04   2.35e-04   2.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.033   90.2  61.33     47
ABELL_2384                  4202   0.00   0.48  2.99  0.00  0.00  2.81  2.73  2.91  0.64  0.55  0.74   1.27e-03   1.21e-03   1.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.154   98.5 154.89    118
ABELL_3376             3202+3450   0.97   0.97  5.21  0.00  0.00  4.31  4.01  4.63  0.20  0.06  0.36   4.41e-04   4.15e-04   4.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0456  0.053   81.7   0.71     86
MACS_J0547.0-3904           3273   0.00   0.25  4.08  0.00  0.00  2.87  2.72  3.03  0.22  0.13  0.32   1.11e-03   1.05e-03   1.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2100  0.091   99.1 102.26     61
MACS_J1427.6-2521           3279   0.00   0.24  6.11  0.00  0.00  4.04  3.73  4.44  0.68  0.46  0.98   6.45e-04   5.91e-04   6.97e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.065   98.9  42.03     36
MACS_J2243.3-0935           3260   0.00   0.47  4.31  0.00  0.00  6.98  6.18  8.16  1.99  0.69  4.76   2.86e-04   2.07e-04   3.56e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1010  0.042   94.6  32.82     23
MACS_J2311+0338             3288   0.00   0.19  5.23  0.00  0.00  5.37  4.49  6.57  0.00  0.00  0.28   3.98e-04   3.66e-04   4.25e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.031   97.5   9.84     14
MKW3S                        900   0.00   0.98  3.05  0.00  0.00  3.42  3.39  3.46  0.77  0.74  0.81   7.73e-03   7.65e-03   7.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  1.145   98.6 415.40    316
MS_1008.1-1224               926   0.00   0.19  6.71  0.00  0.00  5.55  4.83  6.61  0.50  0.10  1.01   1.74e-04   1.55e-04   1.92e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3010  0.016   96.5  27.95     25
RX_J0439.0+0715        3583+1449   0.22   0.22 11.16  0.00  0.00  5.17  4.76  5.65  0.40  0.25  0.57   7.45e-04   7.07e-04   7.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.066   98.9   0.43    167
RX_J1525+0958               1664   0.00   0.00  2.96  0.00  0.00  3.99  3.22  5.01  0.05  0.00  0.62   9.80e-05   8.33e-05   1.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5160  0.005   90.4  21.93     17
RX_J1720.2+3536   7225+3280+6107   0.16   0.16  3.35  0.00  0.00  4.26  4.05  4.49  0.46  0.37  0.57   7.72e-04   6.94e-04   8.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.053   99.3   0.43    323
ZWCL_1215                   4184   0.00   0.58  1.76  0.00  0.00  6.25  5.56  7.22  0.00  0.00  0.36   9.67e-04   8.94e-04   9.95e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0750  0.113   96.4  44.86     47
