# Model: wabs(mekal) for r5000-50 spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
LYNX_E                      9271   0.01   0.37  2.53  0.00  0.00  4.82  2.68 13.03  0.88  0.00 36.68   3.26e-05   6.30e-06   5.14e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.2600  0.001   38.9   1.91      6
MACS_J1319+7003             3278   0.02   1.19  1.53  0.00  0.00 10.12  7.34 15.62  0.07  0.00  0.42   1.39e-03   1.26e-03   1.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3275  0.066   83.8  42.99     40
MACS_J1427.6-2521           3279   0.02   1.46  6.11  0.00  0.00  6.69  4.74 10.81  0.08  0.00  0.43   9.72e-04   8.54e-04   1.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2200  0.042   79.9  38.96     30
MACS_J2311+0338             3288   0.02   0.92  5.23  0.00  0.00 12.99  9.64 20.05  0.70  0.32  1.29   2.09e-03   1.90e-03   2.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2998  0.110   93.5  47.14     47
MS_0440.5+0204              4196   0.02   2.51  9.10  0.00  0.00  4.45  3.08  6.06  0.19  0.00  0.75   2.65e-03   2.23e-03   3.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.101   26.3  61.18     83
MS_2053.7-0449              1667   0.01   1.28  5.16  0.00  0.00  5.05  3.67  7.57  0.17  0.00  0.54   3.90e-04   3.33e-04   4.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.014   40.4  17.79     31
RX_J0439.0+0715             1449   0.02   2.17  1.10  0.00  0.00 10.92  7.81 17.57  0.65  0.21  1.21   4.24e-03   3.82e-03   4.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2400  0.218   77.6  70.46     53
RX_J0820.9+0752             1647   0.04   3.03  2.37  0.00  0.00  1.46  0.90  2.17 606.86 89.05 1000.00   1.27e-05   0.00e+00   4.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1100  0.065   29.3   3.42     12
RX_J0910+5422               2227   0.01   0.61  2.07  0.00  0.00  4.28  2.57  9.50  0.47  0.00  3.08   6.35e-05   3.93e-05   9.34e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1000  0.002   39.5   4.40     12
RX_J1053+5735               4936   0.01   0.35  0.59  0.00  0.00 11.47  3.79 79.90  0.88  0.00 1000.00   2.83e-05   0.00e+00   4.31e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  1.1400  0.001   15.8  18.26      8
ZWCL_1358+6245               516   0.02   1.51  1.94  0.00  0.00  9.04  7.58 11.13  0.50  0.30  0.72   1.97e-03   1.87e-03   2.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3280  0.115   53.1 119.76    133
