# Model: wabs(mekal) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster           ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm   Tx2  Tlo2  Thi2      Norm2       z     Cr  chisq    dof
ABELL_0262           2215   1.46   3.00  5.46  0.00  0.00  2.61  2.41  2.82  0.81  0.61  1.05   3.27e-03  0.00  0.00  0.00   0.00e+00  0.0163  0.524   1.10    268
ABELL_0496           3361   0.00   0.68  4.80  0.00  0.00  2.60  2.52  2.68  0.79  0.71  0.87   9.60e-03  0.00  0.00  0.00   0.00e+00  0.0317  1.536   1.29    181
ABELL_0496           3361   0.68   1.35  4.80  0.00  0.00  3.81  3.67  3.96  0.76  0.67  0.87   1.02e-02  0.00  0.00  0.00   0.00e+00  0.0317  1.506   1.09    208
ABELL_0496           3361   1.35   2.50  4.80  0.00  0.00  4.15  3.75  4.60  0.46  0.27  0.67   7.83e-03  0.00  0.00  0.00   0.00e+00  0.0317  1.006   1.00    253
ABELL_1795            493   0.00   0.29  1.17  0.00  0.00  3.55  3.42  3.69  0.60  0.52  0.68   4.48e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.697   1.04    186
ABELL_1795            493   0.29   0.47  1.17  0.00  0.00  4.36  4.18  4.55  0.58  0.49  0.68   4.62e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.696   1.23    201
ABELL_1795            493   0.47   0.64  1.17  0.00  0.00  4.69  4.49  4.91  0.67  0.56  0.78   4.57e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.696   1.05    205
ABELL_1795            493   0.64   0.83  1.17  0.00  0.00  5.20  4.95  5.48  0.41  0.32  0.50   4.78e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.679   1.01    213
ABELL_1795            493   0.83   1.04  1.17  0.00  0.00  5.38  5.12  5.67  0.43  0.34  0.54   4.81e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.681   0.85    211
ABELL_1795            493   1.04   1.30  1.17  0.00  0.00  5.74  5.45  6.08  0.40  0.30  0.50   4.82e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.674   1.18    216
ABELL_1795            493   1.30   1.59  1.17  0.00  0.00  5.92  5.62  6.28  0.49  0.40  0.64   4.90e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.695   1.16    220
ABELL_1795            493   1.59   1.94  1.17  0.00  0.00  6.49  6.12  6.90  0.29  0.19  0.39   5.25e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.712   0.94    229
ABELL_1795            493   1.94   2.38  1.17  0.00  0.00  6.29  5.95  6.69  0.32  0.23  0.43   5.48e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.754   1.08    232
ABELL_1795            493   2.38   3.00  1.17  0.00  0.00  6.70  5.84  7.79  0.31  0.11  0.52   3.52e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.477   1.11    253
ABELL_2029            891   0.00   0.24  3.15  0.00  0.00  5.14  4.93  5.37  0.93  0.81  1.07   4.48e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.671   1.37    214
ABELL_2029            891   0.24   0.40  3.15  0.00  0.00  7.17  6.79  7.63  0.64  0.51  0.78   5.00e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.669   0.99    227
ABELL_2029            891   0.40   0.56  3.15  0.00  0.00  7.17  6.79  7.61  0.56  0.44  0.69   5.03e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.663   0.96    224
ABELL_2029            891   0.56   0.72  3.15  0.00  0.00  7.59  7.10  8.13  0.39  0.28  0.50   5.23e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.666   1.00    229
ABELL_2029            891   0.72   0.90  3.15  0.00  0.00  7.77  7.30  8.29  0.57  0.44  0.70   5.13e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.672   1.07    229
ABELL_2029            891   0.90   1.10  3.15  0.00  0.00  8.52  7.92  9.22  0.56  0.41  0.72   4.68e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.604   1.15    232
ABELL_2029            891   1.10   1.33  3.15  0.00  0.00  8.24  7.68  8.90  0.34  0.22  0.46   5.32e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.667   1.17    234
ABELL_2029            891   1.33   1.60  3.15  0.00  0.00  8.64  8.05  9.31  0.36  0.24  0.49   5.50e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.689   0.97    236
ABELL_2029            891   1.60   1.93  3.15  0.00  0.00  9.09  8.44  9.86  0.34  0.21  0.47   5.63e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.699   1.02    244
ABELL_2029            891   1.93   2.34  3.15  0.00  0.00  8.70  8.11  9.38  0.47  0.33  0.61   5.71e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.722   1.12    252
ABELL_2029            891   2.34   3.00  3.15  0.00  0.00  8.74  8.20  9.35  0.31  0.19  0.43   7.46e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.926   1.14    282
ABELL_2052            890   0.00   0.33  2.85  0.00  0.00  1.65  1.61  1.69  0.44  0.40  0.49   2.44e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.410   2.75    154
ABELL_2052            890   0.33   0.48  2.85  0.00  0.00  1.92  1.86  1.97  0.55  0.50  0.61   2.55e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.435   1.99    164
ABELL_2052            890   0.48   0.64  2.85  0.00  0.00  2.78  2.69  2.86  0.91  0.81  1.01   2.25e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.405   1.33    183
ABELL_2052            890   0.64   0.84  2.85  0.00  0.00  2.96  2.87  3.05  0.69  0.61  0.77   2.52e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.408   1.26    193
ABELL_2052            890   0.84   1.11  2.85  0.00  0.00  3.25  3.14  3.36  0.69  0.61  0.78   2.59e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.413   1.22    201
ABELL_2052            890   1.11   1.41  2.85  0.00  0.00  3.32  3.21  3.44  0.54  0.47  0.61   2.83e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.421   1.16    209
ABELL_2052            890   1.41   1.75  2.85  0.00  0.00  3.56  3.43  3.69  0.50  0.43  0.58   3.14e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.428   1.17    212
ABELL_2052            890   1.75   2.30  2.85  0.00  0.00  3.10  2.88  3.34  0.40  0.29  0.52   2.60e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.346   1.03    253
HYDRA_A               576   0.00   0.32  4.84  0.00  0.00  3.09  2.98  3.19  0.49  0.43  0.55   5.59e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.787   1.16    193
HYDRA_A               576   0.32   0.55  4.84  0.00  0.00  3.22  3.10  3.34  0.38  0.33  0.43   5.52e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.748   1.34    186
HYDRA_A               576   0.55   0.81  4.84  0.00  0.00  3.50  3.37  3.63  0.40  0.35  0.46   5.40e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.727   1.32    195
HYDRA_A               576   0.81   1.19  4.84  0.00  0.00  3.63  3.49  3.78  0.35  0.29  0.40   6.00e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.741   1.09    199
HYDRA_A               576   1.19   2.00  4.84  0.00  0.00  3.15  2.87  3.45  0.26  0.16  0.37   4.80e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.608   0.92    247
PKS_0745-191         2427   0.00   0.28 43.39  0.00  0.00  4.11  3.96  4.25  0.46  0.40  0.54   1.17e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.745   1.25    266
PKS_0745-191         2427   0.28   0.51 43.39  0.00  0.00  5.94  5.67  6.23  0.38  0.31  0.45   1.11e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.687   0.94    280
PKS_0745-191         2427   0.51   0.81 43.39  0.00  0.00  7.05  6.71  7.43  0.49  0.40  0.58   1.08e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.670   1.06    291
PKS_0745-191         2427   0.81   1.30 43.39  0.00  0.00  7.60  7.21  8.05  0.36  0.28  0.44   1.16e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.703   1.11    301
PKS_0745-191         2427   1.30   3.00 43.39  0.00  0.00  9.39  8.61 10.35  0.39  0.26  0.51   1.57e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.917   0.92    353
